version,candidate_recall,covered_links,total_true_links,total_candidates,avg_candidates,p50_candidates,p95_candidates,max_candidates,reduction_ratio,runtime_s,peak_ram_mb
V1,0.5333,9271,17385,132450,26.49,14.0,60.0,60,0.99999684,390.37,778.8
V2,0.5245,9118,17385,180578,36.12,45.0,60.0,60,0.99999569,390.37,778.8
V3,0.5474,9516,17385,123620,24.72,14.0,60.0,60,0.99999705,390.37,778.8
V4,0.5727,9957,17385,167958,33.59,14.0,120.0,120,0.99999599,390.39,778.8
V5,0.5454,9481,17385,134031,26.81,14.0,60.0,60,0.9999968,390.41,778.8
V6,0.6006,10442,17385,284514,56.9,56.0,120.0,120,0.99999321,390.54,778.8
